"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CfgVehicleDmg_BackCover0","Truck Bed","Truck Bed","Truck Bed","Truck Bed","Truck Bed","Truck Bed","Truck Bed","Truck Bed","Truck Bed","Truck Bed","Truck Bed","Truck Bed","Truck Bed","Truck Bed",
"STR_CfgVehicleDmg_BackTarp0","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover","Tarp Cover",
"STR_CfgVehicleDmg_BackWood0","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover","Wooden Cover",
"STR_CfgVehicleDmg_Bumper0","Bumper","Bumper","Bumper","Bumper","Bumper","Bumper","Bumper","Bumper","Bumper","Bumper","Bumper","Bumper","Bumper","Bumper",
"STR_CfgVehicleDmg_Chassis0","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis",
"STR_CfgVehicleDmg_Engine0","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine",
"STR_CfgVehicleDmg_Fender0","Fender","Fender","Fender","Fender","Fender","Fender","Fender","Fender","Fender","Fender","Fender","Fender","Fender","Fender",
"STR_CfgVehicleDmg_FuelTank0","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank","Fuel Tank",
"STR_CfgVehicleDmg_Reflector0","Reflector","Reflector","Reflector","Reflector","Reflector","Reflector","Reflector","Reflector","Reflector","Reflector","Reflector","Reflector","Reflector","Reflector",
"STR_CfgVehicleDmg_Roof0","Roof","Roof","Roof","Roof","Roof","Roof","Roof","Roof","Roof","Roof","Roof","Roof","Roof","Roof",
"STR_CfgVehicleDmg_Window0","Window","Window","Window","Window","Window","Window","Window","Window","Window","Window","Window","Window","Window","Window",
"STR_CfgVehicleRadiator0","Radiator","Radiator","Radiator","Radiator","Radiator","Radiator","Radiator","Radiator","Radiator","Radiator","Radiator","Radiator","Radiator","Radiator",
"str_v3swheel_ruined0","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel","$UNT$Truck Wheel",
"str_v3swheeldouble_ruined0","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel","$UNT$Truck Double Wheel",
"str_v3swheeldouble0","M3S Dual Wheel","M3S Dual Wheel","Dvojkolo M3S","M3S-Doppelreifen","Двухскатное колесо M3S","Podwójne koło od M3S","M3S Dual Wheel","Ruota gemellata M3S","Rueda doble de M3S","Roue double de MS3","M3S 雙輪","M3S 複車輪","Roda dupla M3S","M3S 双轮",
"str_v3swheel0","M3S Wheel","M3S Wheel","Kolo M3S","M3S-Reifen","Колесо M3S","Koło od M3S","M3S Wheel","Ruota M3S","Rueda de M3S","Roue de MS3","M3S 輪胎","M3S 車輪","Roda M3S","M3S 车轮",
"str_v3shood0","M3S Hood","M3S Hood","Kapota M3S","M3S-Motorhaube","Капот M3S","Maska od M3S","M3S Hood","Cofano M3S","Capó de M3S","Capot de MS3","M3S 引擎蓋","M3S ボンネット","Capô M3S","M3S 引擎罩",
"str_v3sdoors_driver0","M3S Left Door","M3S Left Door","Levé dveře M3S","M3S-Tür links","Левая дверь M3S","Lewe drzwi od M3S","M3S Left Door","Portiera sinistra M3S","Puerta izquierda de M3S","Portière gauche de MS3","M3S 左門","M3S 左のドア","Porta esquerda M3S","M3S 左门",
"str_v3sdoors_codriver0","M3S Right Door","M3S Right Door","Pravé dveře M3S","M3S-Tür rechts","Правая дверь M3S","Prawe drzwi od M3S","M3S Right Door","Portiera destra M3S","Puerta derecha de M3S","Portière droite de MS3","M3S 右門","M3S 右のドア","Porta direita M3S","M3S 右门",
"str_transitbuswheel_ruined0","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel",
"str_transitbuswheeldouble_ruined0","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel",
"str_transitbuswheeldouble0","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel",
"str_transitbuswheel0","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel",
"str_transitbus0","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus",
"str_offroadhatchback0","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4WD","Ada 4x4","Ada 4x4",
"str_hatchbackwheel_ruined0","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel",
"str_hatchbackwheel0","Ada 4x4 Wheel","Ada 4x4 Wheel","Kolo Ada 4x4","Ada 4x4-Reifen","Колесо Ada 4x4","Koło od Ady 4x4","Ada 4x4 Wheel","Ruota Ada 4x4","Rueda de Ada 4x4","Roue de Ada 4x4","Ada 4x4 輪胎","Ada 4WD 車輪","Roda Ada 4x4","Ada 4x4 车轮",
"str_hatchbacktrunk0","Ada 4x4 Trunk Door","Ada 4x4 Trunk Door","Dveře od kufru Ada 4x4","Ada 4x4-Hecktür","Дверь багажника Ada 4x4","Klapa bagażnika od Ady 4x4","Ada 4x4 Trunk Door","Portellone posteriore Ada 4x4","Maletero de Ada 4x4","Hayon de Ada 4x4","Ada 4x4 車廂門","Ada 4WD トランクのドア","Tampa de porta-malas Ada 4x4","Ada 4x4 后备箱门",
"str_hatchbackhood0","Ada 4x4 Hood","Ada 4x4 Hood","Kapota Ada 4x4","Ada 4x4 Motorhaube","Капот Ada 4x4","Maska od Ady 4x4","Ada 4x4 Hood","Cofano Ada 4x4","Capó de Ada 4x4","Capot de Ada 4x4","Ada 4x4 引擎蓋","Ada 4WD ボンネット","Capô Ada 4x4","Ada 4x4 引擎罩",
"str_hatchbackdoors_driver0","Ada 4x4 Left Door","Ada 4x4 Left Door","Levé dveře Ada 4x4","Ada 4x4-Tür links","Левая дверь Ada 4x4","Lewe drzwi od Ady 4x4","Ada 4x4 Left Door","Portiera sinistra Ada 4x4","Puerta izquierda de Ada 4x4","Portière gauche de Ada 4x4","Ada 4x4 左門","Ada 4WD 左のドア","Porta esquerda Ada 4x4","Ada 4x4 左门",
"str_hatchbackdoors_codriver0","Ada 4x4 Right Door","Ada 4x4 Right Door","Pravé dveře Ada 4x4","Ada 4x4-Tür rechts","Правая дверь Ada 4x4","Prawe drzwi od Ady 4x4","Ada 4x4 Right Door","Portiera destra Ada 4x4","Puerta derecha de Ada 4x4","Portière droite de Ada 4x4","Ada 4x4 右門","Ada 4WD 右のドア","Porta direita Ada 4x4","Ada 4x4 右门",
"str_civvanwheel_ruined1","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...",
"str_civvanwheel_ruined0","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel",
"str_civvanwheel1","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...",
"str_civvanwheel0","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel","$UNT$Van Wheel",
"str_civvantrunk1","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...",
"str_civvantrunk0","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk","$UNT$Van Trunk",
"str_civvanhood1","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...",
"str_civvanhood0","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood","$UNT$Van Hood",
"str_civvandoors_trunkup0","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part","$UNT$Van Trunk Up Part",
"str_civvandoors_trunkdown0","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part","$UNT$Van Trunk Down Part",
"str_civvandoors_driver1","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...",
"str_civvandoors_driver0","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors","$UNT$Van driver Doors",
